Category_ID,Total_Impact,Avg_Beta,A_mean
541,0.000890355420234746,0.008446697800294608,0.1054087
1165,0.000550232138836996,0.05296129233093134,0.010389326
102,0.0005408564345034696,0.5167035530640101,0.0010467442
544,0.00049055944535375,0.010019058249776802,0.04896263
1467,0.0004744337329934252,0.026066569968761694,0.01820085
1317,0.0004105300521466993,0.0314697107006222,0.013045244
358,0.0004083908587341772,0.0026010230168531144,0.15701163
1272,0.00039347506583385286,0.1278454403289623,0.0030777403
1168,0.0003580689843097143,0.05431108716856613,0.006592926
1904,0.000344258226583377,0.05844901918950329,0.005889889
1365,0.00032272974695752866,0.09305083479279636,0.0034683165
1557,0.0003198171711937136,0.015276759056992644,0.020934884
202,0.00031505615238311917,0.08066445733643315,0.0039057618
2425,0.00031090436527031224,0.5378477199108233,0.0005780528
791,0.0003054652480086199,0.9776110007131482,0.00031246094
1813,0.00028381366225159314,0.21626601144136764,0.001312336
681,0.00028377974498027117,0.27110706865032985,0.0010467442
1649,0.0002821826381533909,0.09358521366517829,0.003015248
76,0.00027840053054787434,0.9378874679621599,0.00029683788
1694,0.000274957481141712,0.0715425962227492,0.0038432695
1431,0.00026472007391678857,0.11296135517248805,0.002343457
1323,0.0002584461061404006,0.12074904271473985,0.0021403574
1743,0.000256312129683997,0.5657250450310284,0.00045306838
2528,0.00024755427837085575,0.08754394783148695,0.0028277715
787,0.0002454445960294591,0.18267927478532428,0.0013435821
765,0.00023637881463924195,0.14009384328391306,0.0016872891
2423,0.00023587715039795636,0.11101488459557697,0.0021247345
969,0.00023237592909108805,0.2754429329271721,0.00084364455
144,0.00022471669535980372,0.1692196027073976,0.001327959
1678,0.0002232908413378791,0.28584800958339435,0.00078115234
1158,0.00021776584306731157,0.17643995503813648,0.0012342207
702,0.00021510155504618112,0.11569933339550337,0.0018591426
1052,0.00021403000585548993,0.7210333251330234,0.00029683788
1693,0.00021058339064503436,0.024686852964506643,0.008530184
526,0.00021041438123440529,0.053658180810477886,0.003921385
1489,0.00020957116256602849,0.011534162207195848,0.018169604
2622,0.0002073707249185369,0.11542073913461748,0.0017966505
557,0.00020514755214721798,0.05089567913526619,0.004030746
1723,0.00020354877548437453,1.0857292085958288,0.00018747656
1941,0.00020232484387927512,0.11562864614344578,0.0017497813
1221,0.00020189746260502298,0.4307684354613767,0.0004686914
694,0.00019872371096580038,1.0599923135017215,0.00018747656
2441,0.00019756888979595585,0.1359783775367944,0.0014529434
288,0.00019443136759448215,0.366034197019003,0.0005311836
72,0.00019403380526312357,0.887122541293968,0.00021872266
1772,0.00019395535408342295,0.22572171182155976,0.0008592676
1175,0.00019249300090717848,0.41070307555211294,0.0004686914
335,0.00019246514907601115,0.023645507373342103,0.0081396075
861,0.0001910927469417872,0.94088189488829,0.00020309961
1241,0.00019029868881540032,0.01767872067367866,0.010764279
790,0.00018113263164991117,0.05739573115230647,0.0031558555
1751,0.00018070557733893932,0.3505031045710365,0.00051556056
1119,0.00018034829904108106,0.4122762040006615,0.00043744533
1466,0.00017714463530207889,0.01725825582817752,0.010264342
749,0.0001766398832554253,0.21743011015593353,0.00081239844
129,0.00017658215485060648,0.07199153091931841,0.0024528184
2142,0.00017433588264453265,0.3599642348950036,0.00048431446
1667,0.00017184989522963992,0.4230680066294554,0.00040619922
786,0.00017169830203953406,0.4778288964690389,0.0003593301
1296,0.00016793475566630108,0.14143642476610366,0.0011873515
262,0.0001676620248551347,0.10950725713167768,0.0015310586
485,0.00016764047738836765,0.5109681769832494,0.000328084
525,0.00016604408917233337,0.11941741446594296,0.0013904512
545,0.00016370825431362199,0.04575824460094077,0.0035776778
